injectionId,authorId,split,component,collisionState,centerLabel,labelMultiplicity,labelAreaPixels,offsetIndex,drawIndex,referenceX,referenceY,raDeg,decDeg,offsetRadiusPixels,offsetRadiusArcsec,topologyRule,segmentedFraction5x5,sameLabelFraction5x5,inputF090WVegaMag,inputF150WVegaMag,inputF090WMinusF150WMag
I-54441-01-06,54441,validation,spiral,large-collision,2245,11,1321113.0,1,6,8306.131335163638,1956.7829034443298,163.35418399732086,16.78348696211864,7.5,0.23418383551428903,inside-original-collision-label,1.0,1.0,25.44971997409391,24.365,1.0847199740939102
I-54441-01-07,54441,validation,spiral,large-collision,2245,11,1321113.0,1,7,8306.131335163638,1956.7829034443298,163.35418399732086,16.78348696211864,7.5,0.23418383551428903,inside-original-collision-label,1.0,1.0,25.579611581275074,24.765,0.8146115812750745
I-54441-01-08,54441,validation,spiral,large-collision,2245,11,1321113.0,1,8,8306.131335163638,1956.7829034443298,163.35418399732086,16.78348696211864,7.5,0.23418383551428903,inside-original-collision-label,1.0,1.0,25.84971997409391,24.765,1.0847199740939102
I-54441-02-01,54441,validation,spiral,large-collision,2245,11,1321113.0,2,1,8306.344786479876,1965.9754367617575,163.35426056778562,16.783455561243684,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,24.37961158127507,23.564999999999998,0.8146115812750745
I-54441-02-02,54441,validation,spiral,large-collision,2245,11,1321113.0,2,2,8306.344786479876,1965.9754367617575,163.35426056778562,16.783455561243684,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,24.64971997409391,23.564999999999998,1.0847199740939102
I-54441-02-03,54441,validation,spiral,large-collision,2245,11,1321113.0,2,3,8306.344786479876,1965.9754367617575,163.35426056778562,16.783455561243684,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,24.779611581275073,23.965,0.8146115812750745
I-54441-02-04,54441,validation,spiral,large-collision,2245,11,1321113.0,2,4,8306.344786479876,1965.9754367617575,163.35426056778562,16.783455561243684,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,25.04971997409391,23.965,1.0847199740939102
I-54441-02-05,54441,validation,spiral,large-collision,2245,11,1321113.0,2,5,8306.344786479876,1965.9754367617575,163.35426056778562,16.783455561243684,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,25.179611581275072,24.365,0.8146115812750745
I-54441-02-06,54441,validation,spiral,large-collision,2245,11,1321113.0,2,6,8306.344786479876,1965.9754367617575,163.35426056778562,16.783455561243684,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,25.44971997409391,24.365,1.0847199740939102
I-54441-02-07,54441,validation,spiral,large-collision,2245,11,1321113.0,2,7,8306.344786479876,1965.9754367617575,163.35426056778562,16.783455561243684,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,25.579611581275074,24.765,0.8146115812750745
I-54441-02-08,54441,validation,spiral,large-collision,2245,11,1321113.0,2,8,8306.344786479876,1965.9754367617575,163.35426056778562,16.783455561243684,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,25.84971997409391,24.765,1.0847199740939102
