authorId,host,component,split,band,raDeg,decDeg,shiftedRaDeg,shiftedDecDeg,mosaicX,mosaicY,edgeDistancePixels,validCoverage,centerContributionCount,centerSegmentationLabel,nearestCatalogLabel,nearestCatalogDistanceArcsec,secondCatalogDistanceArcsec,catalogMatchedAt0_3Arcsec,catalogSourcesWithin1Arcsec,centerLabelEqualsNearestCatalogLabel,centerScienceMJySr,centerErrorMJySr,centerWeight,referenceFluxJy,referenceCombinedErrorJy,referenceSignalToNoise,referenceVegaMag,referenceBackgroundMJySr,referenceBackgroundRobustSigmaMJySr,referenceApertureSegmentedFraction,referenceTargetLabelFraction,sensitivityFluxJy,sensitivityCombinedErrorJy,sensitivitySignalToNoise,sensitivityVegaMag,sensitivityBackgroundMJySr
149841,N3447Spiral,spiral,validation,F090W,163.3551,16.76058,163.35510580203695,16.76055777777778,5943.089559582779,3146.6503004506203,1242.3496995493797,True,4,0,5193,1.829252247208898,2.7214115985377583,False,0,False,0.633863091468811,0.027530506253242493,1745.18603515625,6.327212007567842e-08,3.871536619252593e-09,16.34289593466204,26.412958785474387,0.3692375719547272,0.0175318484634161,0.0,0.0,4.199050992533167e-08,3.114771554388535e-09,13.48108816075755,26.85811188061873,0.36701107025146484
152955,N3447Spiral,spiral,validation,F090W,163.35555,16.75923,163.35555580199576,16.759207777777778,5822.092348057178,3256.439172585023,1132.5608274149772,True,4,0,5316,2.4272223293749233,3.5794732601369352,False,0,False,0.45324015617370605,0.023906048387289047,1745.41650390625,7.111000524237259e-08,3.6459183565925394e-09,19.504003734420348,26.286162975638902,0.3675839900970459,0.014578240996599197,0.0,0.0,3.694474280307406e-08,3.1160952206381275e-09,11.85610200817559,26.997108133550782,0.3714556396007538
158741,N3447,other,validation,F090W,163.36324,16.76165,163.36324580206957,16.76162777777778,6428.2526102251195,3913.0427795156033,475.95722048439666,True,4,0,6125,0.3548858068489425,0.8337495233897221,False,2,False,0.8627433776855469,0.032439444214105606,1765.0108642578125,7.03055939579603e-08,4.326910950188878e-09,16.248449475229283,26.298515048252536,0.3721064329147339,0.021477849304676055,0.0,0.0,6.67884076949782e-08,3.588130282973981e-09,18.613707537849315,26.35423702839086,0.3699178695678711
159894,N3447Spiral,spiral,development,F090W,163.36072,16.7588,163.36072580198265,16.75877777777778,6013.84276708292,3796.29873933884,592.7012606611602,True,4,0,5923,1.270854299994195,4.278897014360731,False,0,False,0.6285431981086731,0.02748502977192402,1757.503662109375,9.554864441305064e-08,3.7987302403694346e-09,25.15278484311598,25.96542842747048,0.3576420545578003,0.014422179847955702,0.0,0.0,7.075159899706936e-08,3.293895148688357e-09,21.47961480353828,26.29164910370814,0.36194950342178345
160864,N3447,other,development,F090W,163.36186,16.75906,163.3618658019906,16.75903777777778,6093.345290471965,3898.361664328072,490.63833567192796,True,4,0,6096,0.2482842364928694,1.311518517669768,True,1,False,0.5639029145240784,0.02606862224638462,1760.2353515625,6.679141599161693e-08,4.167255911163247e-09,16.02767322561018,26.354188125547815,0.36348946392536163,0.020417256501317024,0.0,0.0,5.103670804255888e-08,3.352460050446408e-09,15.22365882801882,26.646283117635964,0.3668820559978485
162049,N3447,other,validation,F090W,163.36218,16.75845,163.362185801972,16.75842777777778,6044.019360520534,3959.690098430979,429.3099015690209,True,4,0,6161,0.6251284850154365,1.0950452538641717,False,1,False,0.4345201253890991,0.024432696402072906,1760.52734375,4.2133969577359917e-08,3.999183196047043e-09,10.535643783212247,26.854408808931634,0.3646255284547806,0.019874974939227102,0.0,0.0,2.3423254899499186e-08,2.971800444135241e-09,7.881839760043201,27.491871640869302,0.3673056364059448
162730,N3447,other,development,F090W,163.36315,16.75877,163.36315580198175,16.758747777777778,6122.027746368593,4041.806752286323,347.193247713677,True,4,0,6295,1.0137302286892522,1.2810123603456556,False,0,False,0.6918714046478271,0.028699010610580444,1762.88916015625,8.68834063749901e-08,4.526883142352927e-09,19.19276545093915,26.06864765316026,0.3708290457725525,0.02395688860416412,0.0,0.0,6.001818032365802e-08,3.6846883237864486e-09,16.28853651914372,26.470282692228178,0.3669215738773346
164281,N3447,other,validation,F090W,163.36405,16.75831,163.3640558019677,16.75828777777778,6115.010318992387,4154.214172408767,234.7858275912331,True,4,0,6437,1.042627878183616,1.2596248884529433,False,0,False,0.5881916284561157,0.028080277144908905,1764.54443359375,1.7907366209737128e-07,4.508888200296091e-09,39.71570243981916,25.28341046447299,0.36083391308784485,0.020023325818777082,0.0,0.0,1.1533714580579002e-07,3.599413554147759e-09,32.043315965424995,25.761066752466824,0.3565824329853058
164897,N3447,other,validation,F090W,163.36401,16.7578,163.36401580195218,16.75777777777778,6059.680619555922,4174.599466958489,214.40053304151115,True,4,0,6396,0.8237031883376948,1.1356951455609083,False,1,False,0.6257598400115967,0.026768788695335388,1764.1298828125,1.486740423314006e-07,4.4833622076106034e-09,33.161282860221114,25.485401877989855,0.3608919084072113,0.021115886414051054,0.0,0.0,9.798312797154847e-08,3.6730165946153205e-09,26.676472988222468,25.93811150334909,0.36383138597011566
164975,N3447,other,validation,F090W,163.36502,16.75853,163.3650258019744,16.75850777777778,6182.529922262447,4241.1151095361,147.88489046389986,True,4,0,6497,0.6161634584097255,1.138012639926886,False,1,False,0.6043534874916077,0.028045477345585823,1766.8272705078125,1.1576629367677826e-07,4.047311204046093e-09,28.60325975453699,25.75703442895546,0.36405569314956665,0.015804659816622733,0.0,0.0,1.0485140627216939e-07,3.4923392174965095e-09,30.023259409299975,25.86455410323429,0.36752963066101074
165114,N3447,other,development,F090W,163.36571,16.75899,163.36571580198847,16.75896777777778,6262.395952067606,4288.408310067269,100.59168993273124,True,4,0,6500,1.7302815509176845,1.83164766569405,False,0,False,0.4166489839553833,0.027237113565206528,1768.6182861328125,4.65943823559624e-08,4.535570192903658e-09,10.273103573364128,26.745155854273573,0.3631140887737274,0.023673353952169417,0.0,0.0,3.1376204258093687e-08,3.384458078882582e-09,9.270673037395962,27.174488743341723,0.3577481806278229
165662,N3447,other,development,F090W,163.36485,16.75784,163.36485580195338,16.75781777777778,6102.362809755336,4257.0562170446865,131.9437829553135,True,4,0,6534,1.02420254581808,1.2116498381322622,False,0,False,0.6905975937843323,0.029289010912179947,1765.999267578125,8.599041667224686e-08,4.423908216386611e-09,19.437658393031192,26.07986461889052,0.36554524302482605,0.02288072061538696,0.0,0.0,6.388024757768793e-08,3.3139206499032876e-09,19.276335895234,26.40257327567093,0.3690534979104996
166075,N3447,other,validation,F090W,163.36487,16.75749,163.36487580194273,16.75746777777778,6066.565580623645,4275.812316715922,113.18768328407805,True,4,0,6537,0.3624000845052216,0.38005503297121335,False,4,False,0.4770495295524597,0.026075122877955437,1765.83642578125,4.601628099070229e-08,4.283509231067409e-09,10.742659466438335,26.75871096147902,0.3798879384994507,0.02105142061114311,0.0,0.0,3.999041402715569e-08,3.3101286866974584e-09,12.081226384903616,26.91110000108957,0.3747433125972748
